Name,Position,Country,DOB,Team
Danny Drinkwater,Central Midfield,England,"Mar 5, 1990",First Team/Reserves Team/Youth Teams
Jonathan Greening,Central Midfield,England,"Jan 2, 1979",First Team
Joshua King,Centre-Forward,Norway,"Jan 15, 1992",First Team/Reserves Team/Youth Teams
Jesper Blomqvist,Left Midfield,Sweden,"Feb 5, 1974",First Team
John Sivebaek,Right-Back,Denmark,"Oct 25, 1961",First Team
Sergio Romero,Goalkeeper,Argentina,"Feb 22, 1987",First Team/Reserves Team
Timothy Fosu-Mensah,Right-Back,Netherlands,"Jan 2, 1998",First Team/Reserves Team/Youth Teams
Henning Berg,Right-Back,Norway,"Sep 1, 1969",First Team
Teddy Sheringham,Centre-Forward,England,"Apr 2, 1966",First Team
Jovan Kirovski,Right Winger,United States,"Mar 18, 1976",Reserves Team/Youth Teams
Mark Hughes,Second Striker,Wales,"Nov 1, 1963",First Team/Reserves Team
Gabriel Heinze,Centre-Back,Argentina,"Apr 19, 1978",First Team
Josh Brownhill,Central Midfield,England,"Dec 19, 1995",Youth Teams
Alan Brazil,Centre-Forward,Scotland,"Jun 15, 1959",First Team
Ronny Johnsen,Centre-Back,Norway,"Jun 10, 1969",First Team
Jordi Cruyff,Attacking Midfield,Netherlands,"Feb 9, 1974",First Team
Mark Wilson,Central Midfield,England,"Feb 9, 1979",First Team/Youth Teams
Pierluigi Gollini,Goalkeeper,Italy,"Mar 18, 1995",Reserves Team/Youth Teams
David May,Centre-Back,England,"Jun 24, 1970",First Team
Bill Foulkes,Centre-Back,England,"Jan 5, 1932",First Team/Youth Teams
Fangzhuo Dong,Centre-Forward,China,"Jan 23, 1985",First Team
Altay Bayındır,Goalkeeper,Türkiye,"Apr 14, 1998",First Team
Ben Brereton Díaz,Centre-Forward,Chile,"Apr 18, 1999",Youth Teams
Raimond van der Gouw,Goalkeeper,Netherlands,"Mar 24, 1963",First Team
John Curtis,Right-Back,England,"Sep 3, 1978",First Team/Youth Teams
Denis Law,Centre-Forward,Scotland,"Feb 24, 1940",First Team
Tony Dunne,Left-Back,Ireland,"Jul 24, 1941",First Team
George Best,Right Winger,Northern Ireland,"May 22, 1946",First Team/Youth Teams
Pat Crerand,Central Midfield,Scotland,"Feb 19, 1939",First Team
Shay Brennan,Right-Back,Ireland,"May 6, 1937",First Team/Reserves Team/Youth Teams
David Herd,Centre-Forward,Scotland,"Apr 15, 1934",First Team
Adnan Januzaj,Right Winger,Belgium,"Feb 5, 1995",First Team/Reserves Team/Youth Teams
Sam Hewson,Central Midfield,England,"Nov 28, 1988",First Team/Reserves Team/Youth Teams
Cameron Borthwick-Jackson,Left-Back,England,"Feb 2, 1997",First Team/Reserves Team/Youth Teams
Kieran Lee,Defensive Midfield,England,"Jun 22, 1988",First Team/Reserves Team/Youth Teams
Richard Eckersley,Right-Back,England,"Mar 12, 1989",First Team/Reserves Team/Youth Teams
Febian Brandy,Right Winger,St. Kitts & Nevis,"Feb 4, 1989",First Team/Reserves Team/Youth Teams
Alex Stepney,Goalkeeper,England,"Sep 18, 1942",First Team
David Sadler,Centre-Back,England,"Feb 5, 1946",First Team
Brian Kidd,Centre-Forward,England,"May 29, 1949",First Team/Reserves Team/Youth Teams
John Aston,Left Winger,England,"Jul 28, 1947",First Team/Reserves Team/Youth Teams
Francis Burns,Left-Back,Scotland,"Oct 17, 1948",First Team/Youth Teams
John Fitzpatrick,Left-Back,Scotland,"Aug 18, 1946",First Team/Youth Teams
Colin Gibson,Left-Back,England,"Apr 6, 1960",First Team
Jimmy Rimmer,Goalkeeper,England,"Feb 10, 1948",First Team/Reserves Team
Jimmy Ryan,Striker,Scotland,"May 12, 1945",First Team/Youth Teams
Brian McClair,Second Striker,Scotland,"Dec 8, 1963",First Team
Tom Cleverley,Central Midfield,England,"Aug 12, 1989",First Team/Reserves Team/Youth Teams
Gary Pallister,Centre-Back,England,"Jun 30, 1965",First Team
Paul Ince,Central Midfield,England,"Oct 21, 1967",First Team
Lee Sharpe,Left Midfield,England,"May 27, 1971",First Team
Zoran Tosic,Right Winger,Serbia,"Apr 28, 1987",First Team/Reserves Team
Steve Bruce,Centre-Back,England,"Dec 31, 1960",First Team
Guillermo Varela,Right-Back,Uruguay,"Mar 24, 1993",First Team/Reserves Team
Gordon Strachan,Right Midfield,Scotland,"Feb 9, 1957",First Team
Jeffrey Schlupp,Left Midfield,Ghana,"Dec 23, 1992",Reserves Team
Clayton Blackmore,Left-Back,Wales,"Sep 23, 1964",First Team/Youth Teams
Gary Walsh,Goalkeeper,England,"Mar 21, 1968",First Team/Reserves Team/Youth Teams
Bryan Robson,Central Midfield,England,"Jan 11, 1957",First Team
Mike Phelan,Defensive Midfield,England,"Sep 24, 1962",First Team
Jim Leighton,Goalkeeper,Scotland,"Jul 24, 1958",First Team
Odion Ighalo,Centre-Forward,Nigeria,"Jun 16, 1989",First Team
Vanja Milinković-Savić,Goalkeeper,Serbia,"Feb 20, 1997",First Team
Tom Huddlestone,Defensive Midfield,England,"Dec 28, 1986",Reserves Team
Lee Martin,Left-Back,England,"Feb 5, 1968",First Team/Youth Teams
David Platt,Attacking Midfield,England,"Jun 10, 1966",First Team/Youth Teams
Teden Mengi,Centre-Back,England,"Apr 30, 2002",First Team/Reserves Team/Youth Teams
Brandon Williams,Left-Back,England,"Sep 3, 2000",First Team/Reserves Team/Youth Teams
Hannibal,Attacking Midfield,Tunisia,"Jan 21, 2003",First Team/Reserves Team/Youth Teams
Mal Donaghy,Left-Back,Northern Ireland,"Sep 13, 1957",First Team
Neil Webb,Right Midfield,England,"Jul 30, 1963",First Team
Danny Wallace,Left Winger,England,"Jan 21, 1964",First Team
Les Sealey,Goalkeeper,England,"Sep 29, 1957",First Team
Russell Beardsmore,Central Midfield,England,"Sep 28, 1968",First Team/Youth Teams
Tommy Baldwin,Midfielder,England,"Jun 10, 1945",First Team
Mame Diouf,Centre-Forward,Senegal,"Dec 16, 1987",First Team/Reserves Team
Ryan Shawcross,Centre-Back,England,"Oct 4, 1987",First Team/Reserves Team/Youth Teams
Alan Smith,Central Midfield,England,"Oct 28, 1980",First Team
Tim Howard,Goalkeeper,United States,"Mar 6, 1979",First Team
Facundo Pellistri,Left Winger,Uruguay,"Dec 20, 2001",First Team/Reserves Team
Robbie Brady,Left Midfield,Ireland,"Jan 14, 1992",First Team/Reserves Team/Youth Teams
Largie Ramazani,Left Winger,Belgium,"Feb 27, 2001",First Team/Reserves Team/Youth Teams
Axel Tuanzebe,Right-Back,DR Congo,"Nov 14, 1997",First Team/Reserves Team/Youth Teams
Rodrigo Possebon,Central Midfield,Italy,"Feb 13, 1989",First Team/Reserves Team
Quinton Fortune,Left-Back,South Africa,"May 21, 1977",First Team
Danny Higginbotham,Centre-Back,Gibraltar,"Dec 29, 1978",First Team/Youth Teams
Oliver Norwood,Central Midfield,Northern Ireland,"Apr 12, 1991",Reserves Team/Youth Teams
Kieran Richardson,Left-Back,England,"Oct 21, 1984",First Team
Fábio,Right-Back,Brazil,"Jul 9, 1990",First Team/Reserves Team/Youth Teams
James Chester,Centre-Back,Wales,"Jan 23, 1989",First Team/Reserves Team/Youth Teams
Ethan Laird,Right-Back,England,"Aug 5, 2001",First Team/Reserves Team/Youth Teams
Martin Dúbravka,Goalkeeper,Slovakia,"Jan 15, 1989",First Team
Matej Kovar,Goalkeeper,Czech Republic,"May 17, 2000",First Team/Reserves Team/Youth Teams
Eric Djemba Djemba,Defensive Midfield,Cameroon,"May 4, 1981",First Team
David Bellion,Centre-Forward,France,"Nov 27, 1982",First Team
Tahith Chong,Right Winger,Netherlands,"Dec 4, 1999",First Team/Reserves Team/Youth Teams
Anders Lindegaard,Goalkeeper,Denmark,"Apr 13, 1984",First Team/Reserves Team
Mark Bosnich,Goalkeeper,Australia,"Jan 13, 1972",First Team/Reserves Team
Ángelo Henríquez,Centre-Forward,Chile,"Apr 13, 1994",First Team/Reserves Team
Massimo Taibi,Goalkeeper,Italy,"Feb 18, 1970",First Team
Phil Bardsley,Right-Back,Scotland,"Jun 28, 1985",First Team/Youth Teams
Alexander Büttner,Left-Back,Netherlands,"Feb 11, 1989",First Team/Reserves Team
Ben Foster,Goalkeeper,England,"Apr 3, 1983",First Team/Reserves Team
Tom Lawrence,Attacking Midfield,Wales,"Jan 13, 1994",First Team/Reserves Team/Youth Teams
Tom Heaton,Goalkeeper,England,"Apr 15, 1986",First Team/Reserves Team/Youth Teams
Paddy McNair,Centre-Back,Northern Ireland,"Apr 27, 1995",First Team/Reserves Team/Youth Teams
Ronnie Wallwork,Central Midfield,England,"Sep 10, 1977",First Team/Youth Teams
Robbie Savage,Defensive Midfield,Wales,"Oct 18, 1974",First Team/Youth Teams
Magnus Wolff Eikrem,Second Striker,Norway,"Aug 8, 1990",First Team/Reserves Team/Youth Teams
Marc Wilson,Centre-Back,Ireland,"Aug 17, 1987",Youth Teams
Craig Cathcart,Centre-Back,Northern Ireland,"Feb 6, 1989",First Team/Reserves Team/Youth Teams
Éric Cantona,Second Striker,France,"May 24, 1966",First Team
Willy Kambwala,Centre-Back,France,"Aug 25, 2004",First Team/Reserves Team/Youth Teams
Toby Collyer,Defensive Midfield,England,"Jan 3, 2004",First Team/Reserves Team/Youth Teams
Chido Obi,Centre-Forward,Denmark,"Nov 29, 2007",First Team/Reserves Team/Youth Teams
Nick Powell,Attacking Midfield,England,"Mar 23, 1994",First Team/Reserves Team
Anthony Pilkington,Left Winger,Ireland,"Jun 6, 1988",Youth Teams
Ashley Fletcher,Centre-Forward,England,"Oct 2, 1995",Reserves Team/Youth Teams
Ricardo,Goalkeeper,Spain,"Dec 30, 1971",First Team
Roy Carroll,Goalkeeper,Northern Ireland,"Sep 30, 1977",First Team
Jacob Butterfield,Central Midfield,England,"Jun 10, 1990",Youth Teams
Karel Poborský,Right Winger,Czech Republic,"Mar 30, 1972",First Team
Darron Gibson,Central Midfield,Ireland,"Oct 25, 1987",First Team/Reserves Team/Youth Teams
Fraizer Campbell,Centre-Forward,England,"Sep 13, 1987",First Team/Youth Teams
Saidy Janko,Right-Back,The Gambia,"Oct 22, 1995",First Team/Reserves Team/Youth Teams
Ravel Morrison,Attacking Midfield,Jamaica,"Feb 2, 1993",First Team/Reserves Team/Youth Teams
Gabriel Obertan,Right Winger,France,"Feb 26, 1989",First Team/Reserves Team
Shola Shoretire,Left Winger,England,"Feb 2, 2004",First Team/Reserves Team/Youth Teams
Jimmy Dunne,Centre-Back,Ireland,"Oct 19, 1997",Youth Teams
Michael Stewart,Central Midfield,Scotland,"Feb 26, 1981",First Team/Youth Teams
Joe Rothwell,Central Midfield,England,"Jan 11, 1995",First Team/Reserves Team/Youth Teams
David Healy,Centre-Forward,Northern Ireland,"Aug 5, 1979",First Team/Youth Teams
Diego León,Left-Back,Paraguay,"Apr 3, 2007",First Team
Paul McShane,Centre-Back,Ireland,"Jan 6, 1986",First Team/Reserves Team/Youth Teams
Federico Macheda,Centre-Forward,Italy,"Aug 22, 1991",First Team/Reserves Team/Youth Teams
Erik Nevland,Centre-Forward,Norway,"Nov 10, 1977",First Team
Zeki Fryers,Left-Back,England,"Sep 9, 1992",First Team/Reserves Team/Youth Teams
Sylvan Ebanks-Blake,Centre-Forward,England,"Mar 29, 1986",First Team/Reserves Team/Youth Teams
Bebé,Left Winger,Cape Verde,"Jul 12, 1990",First Team/Reserves Team
Ritchie De Laet,Right-Back,Belgium,"Nov 28, 1988",First Team/Reserves Team
Di'Shon Bernard,Centre-Back,Jamaica,"Oct 14, 2000",First Team/Reserves Team/Youth Teams
Keith Gillespie,Right Midfield,Northern Ireland,"Feb 18, 1975",First Team/Youth Teams
Mats Møller Dæhli,Central Midfield,Norway,"Mar 2, 1995",Reserves Team/Youth Teams
Zidane Iqbal,Central Midfield,Iraq,"Apr 27, 2003",First Team/Reserves Team/Youth Teams
Ben Pearson,Defensive Midfield,England,"Jan 4, 1995",Reserves Team/Youth Teams
Noah Ohio,Centre-Forward,Netherlands,"Jan 16, 2003",Youth Teams
Andy Goram,Goalkeeper,Scotland,"Apr 13, 1964",First Team
Manucho,Centre-Forward,Angola,"Mar 7, 1983",First Team
Liam Miller,Central Midfield,Ireland,"Feb 13, 1981",First Team
Etzaz Hussain,Central Midfield,Norway,"Jan 27, 1993",Reserves Team/Youth Teams
Jonathan Spector,Centre-Back,United States,"Mar 1, 1986",First Team/Youth Teams
David Jones,Central Midfield,England,"Nov 4, 1984",First Team/Reserves Team/Youth Teams
Nikolas Ioannou,Left-Back,Cyprus,"Nov 10, 1995",Youth Teams
Matty James,Central Midfield,England,"Jul 22, 1991",First Team/Reserves Team/Youth Teams
Jamie Mullan,Right Winger,England,"Feb 10, 1988",Youth Teams
George Tanner,Right-Back,England,"Nov 16, 1999",Reserves Team/Youth Teams
Bojan Djordjic,Left Winger,Sweden,"Feb 6, 1982",First Team
Jon Macken,Centre-Forward,Ireland,"Sep 7, 1977",First Team/Youth Teams
Dion Dublin,Centre-Forward,England,"Apr 22, 1969",First Team
James Wilson,Centre-Forward,England,"Dec 1, 1995",First Team/Reserves Team/Youth Teams
Tyler Blackett,Left-Back,England,"Apr 2, 1994",First Team/Reserves Team/Youth Teams
Melle Meulensteen,Defensive Midfield,Netherlands,"Jul 4, 1999",Youth Teams
Arnau Puigmal,Central Midfield,Spain,"Jan 10, 2001",First Team/Reserves Team/Youth Teams
Omari Forson,Right Winger,England,"Jul 20, 2004",First Team/Reserves Team/Youth Teams
Danny Pugh,Left-Back,England,"Oct 19, 1982",First Team/Reserves Team
David Fox,Central Midfield,England,"Dec 13, 1983",Reserves Team/Youth Teams
Ben Amos,Goalkeeper,England,"Apr 10, 1990",First Team/Reserves Team/Youth Teams
Matthew Williams,Centre-Forward,Wales,"Nov 5, 1982",First Team/Youth Teams
Andrey Kanchelskis,Right Midfield,Russia,"Jan 23, 1969",First Team
Isak Hansen-Aarøen,Central Midfield,Norway,"Aug 22, 2004",Reserves Team/Youth Teams
Lukasz Bejger,Centre-Back,Poland,"Jan 11, 2002",Reserves Team/Youth Teams
Mark Crossley,Goalkeeper,Wales,"Jun 16, 1969",First Team
Luke Steele,Goalkeeper,England,"Sep 24, 1984",First Team
Maxi Oyedele,Defensive Midfield,Poland,"Nov 7, 2004",Reserves Team/Youth Teams
Ayden Heaven,Centre-Back,England,"Sep 22, 2006",First Team/Reserves Team
Will Keane,Centre-Forward,Ireland,"Jan 11, 1993",First Team/Reserves Team/Youth Teams
Lee Roche,Right-Back,England,"Oct 28, 1980",First Team/Reserves Team
Danny Webber,Centre-Forward,England,"Dec 28, 1981",First Team/Youth Teams
Matt Crooks,Attacking Midfield,England,"Jan 20, 1994",Youth Teams
Ollie Rathbone,Central Midfield,England,"Oct 10, 1996",Reserves Team/Youth Teams
Joe Rankin-Costello,Right-Back,England,"Jul 26, 1999",Youth Teams
Hussein Yasser,Attacking Midfield,Qatar,"Oct 9, 1982",First Team
Lee Martin,Attacking Midfield,England,"Feb 9, 1987",First Team/Youth Teams
Corry Evans,Central Midfield,Northern Ireland,"Jul 30, 1990",First Team/Reserves Team/Youth Teams
Kenny Cooper Jr.,Centre-Forward,United States,"Oct 21, 1984",Reserves Team/Youth Teams
Dennis Politic,Left Winger,Romania,"Mar 5, 2000",Youth Teams
Davide Petrucci,Central Midfield,Italy,"Oct 5, 1991",First Team/Reserves Team/Youth Teams
Alan Tate,Centre-Back,England,"Sep 2, 1982",First Team/Youth Teams
Markus Neumayr,Attacking Midfield,Germany,"Mar 26, 1986",Reserves Team/Youth Teams
Kenji Gorré,Left Winger,Curacao,"Sep 29, 1994",Youth Teams
Nishan Burkart,Left Winger,Switzerland,"Jan 31, 2000",Reserves Team/Youth Teams
Joel Pereira,Goalkeeper,Portugal,"Jun 28, 1996",First Team/Reserves Team/Youth Teams
Paul Rachubka,Goalkeeper,England,"May 21, 1981",First Team/Reserves Team/Youth Teams
Frédéric Veseli,Centre-Back,Albania,"Nov 20, 1992",First Team/Reserves Team
Tosin Kehinde,Left Winger,Nigeria,"Jun 18, 1998",Reserves Team/Youth Teams
Donald Love,Right-Back,Scotland,"Dec 2, 1994",First Team/Reserves Team/Youth Teams
Shaun Goater,Centre-Forward,Bermuda,"Feb 25, 1970",First Team/Youth Teams
Mads Timm,Second Striker,Denmark,"Oct 31, 1984",First Team/Reserves Team/Youth Teams
Lee Grant,Goalkeeper,England,"Jan 27, 1983",First Team/Reserves Team
Ryan Tunnicliffe,Central Midfield,England,"Dec 30, 1992",First Team/Reserves Team/Youth Teams
Ben Thornley,Left Winger,England,"Apr 21, 1975",First Team/Reserves Team
Paul Parker,Right-Back,England,"Apr 4, 1964",First Team
Ethan Galbraith,Central Midfield,Northern Ireland,"May 11, 2001",First Team/Reserves Team/Youth Teams
Jordan Thompson,Central Midfield,Northern Ireland,"Jan 3, 1997",Youth Teams
Michael Clegg,Right-Back,England,"Jul 3, 1977",First Team/Youth Teams
Dessie Baker,Attacking Midfield,Ireland,"Aug 25, 1977",Youth Teams
Jamie Wood,Centre-Forward,Cayman Islands,"Sep 21, 1978",Reserves Team
Roger Byrne,Left-Back,England,"Feb 8, 1929",First Team/Reserves Team
Luke Chadwick,Attacking Midfield,England,"Nov 18, 1980",First Team/Reserves Team
Conor McCormack,Central Midfield,Ireland,"May 18, 1990",Youth Teams
Darren Ferguson,Central Midfield,Scotland,"Feb 9, 1972",First Team/Youth Teams
